conversationId,restaurantName,callStartTime,callDuration,callEndReason,callWithinOfficeHours,reasonForCalling,partysizenumber,textsSent,numberOfTextsSent,phone,conversation
69b8126265517135421f023b,TF Oakwood,2026-03-16T10:23:33.098-04:00,00:20,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-294DE355,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Necesito hablar con un representante.
Assistant: ¿Podrías decirme un poco más sobre tu solicitud para poder asistirte de manera adecuada?"
69b5dd6f49be61fe96a80bb4,RT Buckhead,2026-03-14T18:13:05.259-04:00,00:20,UserHangup,TRUE,Questions About Restaurant Hours and Wait Times,2,,0,CALLER-5A30BBD8,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hey. What's the wait? For two?
Assistant: Let me check that for you, the wait is currently sixty minutes.
Customer: Everywhere. Thank you."
69b4acc8477db9185edcf7a4,RT Buckhead,2026-03-13T20:33:14.830-04:00,00:33,UserHangup,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-91639BDF,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hi. Can I place the order for pickup?
Assistant: Awesome. I can text you our online ordering link so you can place your pickup order. Would you ...
Customer: No. Bella's home.
Assistant: I am sorry, I didn't ...
Customer: Yes. Picking up.
Assistant: Great. I’ve just sent you the pickup link. Is there anything else I can help you with?
Customer: No. That's it. Thank you. Super dear.
Assistant: Perfect—thanks for calling Real Tacos. Enjoy your day...."
69b9ca1810d10be09b21ddd8,TF Oakwood,2026-03-17T17:39:38.385-04:00,00:31,UserHangup,TRUE,General Information and Amenities,,,0,CALLER-0D606A73,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hola, feliz three, chica. Queríamos saber si transmiten allí los juegos de Facebook que han estado de la serie
Assistant: ¡Hola. Gracias por llamar a Todo Frito Oakwood. No tenemos información sobre la transmisión de juegos de Facebook en nuestro restaurante. Sin embargo, tenemos eventos de música en vivo los sábados a las 8:30 pm. ¿Te gustaría saber más sobre eso o recibir nuestro enlace de redes sociales para ver ..."
69b6db296551713542d2ffca,TF Oakwood,2026-03-15T12:15:40.158-04:00,00:37,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-B7293E60,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Thank you, ma'am.
Assistant: De nada, ¿en qué puedo ayudarte hoy en Todo Frito Oakwood?
Customer: Sauces una orden.
Assistant: ¿Te gustaría información sobre nuestras salsas o hacer un pedido?
Customer: Hacer un pedido.
Assistant: Puedes hablar con un miembro del equipo o recibir el enlace para hacer tu pedido en línea. ¿Qué prefieres?
Customer: Hablar con un miembro del equipo.
Assistant: Enseguida te transfiero con alguien que te ayudará con tu pedido. ¡Gracias por elegir Todo Frito Oakwood."
69c1ce7a282265f33cf8906d,TF Oakwood,2026-03-23T19:36:29.209-04:00,00:25,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-CFE9C57A,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Quiero hacer una orden.
Assistant: ¿Te gustaría hablar con un miembro del equipo o enviarte el enlace para hacer tu pedido en línea?
Customer: Un miembro del equipo.
Assistant: Tu llamada será transferida a un miembro de nuestro equipo en breve."
69b9b7ac039d9372ee0ebe14,TF Oakwood,2026-03-17T16:21:02.716-04:00,00:29,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-FA28071B,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Not only.
Assistant: Entiendo. ¿Podrías decirme un poco más sobre lo que estás buscando o necesitas ayuda con algo específico en Todo Frito Oakwood?
Customer: Hablar con un representante.
Assistant: Entiendo que deseas hablar con un representante. Te transferiré con un miembro de nuestro equipo en un momento."
69bdf024f40440690c8e6e5e,TF Oakwood,2026-03-20T21:11:02.861-04:00,00:32,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-AB3396C2,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Bueno. Para hacer un pedido para ir a recuperar
Assistant: ¿Te gustaría hablar con un miembro del equipo o enviarte el enlace para hacer tu pedido en línea?
Customer: Bueno. Para hacer un pedido para ir a recuperar Call miembro del equipo, por favor.
Assistant: En un momento te transferiré con un miembro del equipo para ayudarte con tu pedido."
69cad7f076361df4a6cdb3a8,TF Oakwood,2026-03-30T16:07:15.299-04:00,00:21,UserHangup,TRUE,Making a Reservation or Inquiring About Reservations,8,,0,CALLER-D8C5436F,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Do you take reservations for parties of eight?
Assistant: We don't accept bookings in advance, as we only operate on a walk-in ..."
69c98fb33561ccb2166ff7ec,TF Oakwood,2026-03-29T16:46:46.001-04:00,01:16,CallTransfer,TRUE,Menu Inquiries and Special Dietary Needs,,,0,CALLER-0B8693E4,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hola, chica. Yo estoy llamando para, porque me habían dicho que habían unas piezas de veinticinco piezas que veinticinco y algo.
Assistant: Dále— ¿Podrías repetirme el nombre del plato que estás buscando, por favor?
Customer: Son piezas, creo que de pequeños o pastelitos.
Assistant: Ah gotcha— ...
Customer: Empanadas, no sé. Yo soy inteligencia artificial.
Assistant: No problem— Tenemos empanadas en el menú, específicamente Empanada Service"" que viene con 6 unidades de empanadas de carne o pollo, y cuesta siete dólares con noventa y nueve centavos. ¿Te gustaría saber más sobre nuestras empanadas o algo más del menú?
Customer: De los pequeños, de los veinticinco unidades de pequeño, y empanada mixto.
Assistant: Claro— En nuestro menú, tenemos Mini empanadas assortment"" que es ideal para compartir, pero no tengo la información exacta de que vengan veinticinco unidades. ¿Quieres que te mande el enlace del menú online para que puedas ver más detalles?
Customer: Quiero hablar con una persona.
Assistant: Claro— Enseguida te transfiero con un miembro de nuestro equipo."
69c7fc573b03748519ea10e5,RT Buckhead,2026-03-28T12:05:45.658-04:00,00:44,UserHangup,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-EAE82964,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Place a order for pickup.
Assistant: Awesome. I can text you our online ordering link so you can place your pickup order.
Assistant: Sorry, are you still on the line?
Customer: Yes, I am.
Assistant: Great. I’ve just sent you the pickup link. Is there anything else I can help you with?
Customer: No.
Assistant: Perfect—thanks for calling Real Tacos. Enjoy your day."
69c9c16076361df4a696a5d3,RT Buckhead,2026-03-29T20:18:42.315-04:00,00:15,UserHangup,TRUE,Questions About Restaurant Hours and Wait Times,,,0,CALLER-6284778A,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: What is the current wait time?
Assistant: Let me check that for you. The current wait time is thirty minutes."
69c997a976361df4a695e551,RT Buckhead,2026-03-29T17:20:43.454-04:00,01:39,UserHangup,TRUE,Making a Reservation or Inquiring About Reservations,15,,0,CALLER-9BDEC356,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Hi. I was curious if I could make a reservation over the phone.
Assistant: Claro que sí. How many guests will be in your party?
Customer: I think it's gonna be fifteen.
Assistant: Got it. Parties of five or more are coordinated by a manager. In case Buckhead cannot handle your party, are you willing to be relocated to one of our nearby locations, Chamblee and Sandy Springs, that are within ten minutes?
Customer: Sure.
Assistant: Great. Would you like to exclude any of the given options?
Customer: No.
Assistant: Okay. What date and time works best?
Customer: March thirtieth at six thirty.
Assistant: Under what name should I put the reservation?
Customer: Kathy.
Assistant: Okay, fifteen guests on March thirtieth at six thirty under the name Kathy. Does that look correct?
Customer: Yes.
Assistant: Please wait while I submit your large party reservation request to our manager. I just sent your information to our managers, please check your messages you should receive an SMS with the details of your reservation, they will be reaching out soon!
Customer: Ok.
Assistant: Perfect—thanks for calling Real Tacos. Enjoy your day."
69c1d82d282265f33cf8b623,TF Oakwood,2026-03-23T20:17:51.592-04:00,00:31,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,2,,0,CALLER-849B8FE5,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Para ordenar dos dos parrillas mixto.
Assistant: ¿Te gustaría hablar con un miembro del equipo para hacer tu pedido o te envío el enlace para hacer tu pedido en línea?
Customer: Estoy manejando. Si quieren ponerme a hablar con alguien, eso es todo.
Assistant: Entiendo. Te voy a transferir con un miembro del equipo para que puedas hacer tu pedido. Un momento, por favor."
69b75ae56551713542d6ebbc,TF Oakwood,2026-03-15T21:20:39.560-04:00,00:45,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-FCC37279,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Hello?
Assistant: Hello. Welcome to Todo Frito Oakwood, I'm Yuli. How can I help you today?
Customer: I wanna do to order.
Assistant: To place an order, would you like to speak with a team member or would you prefer to make your order online?
Customer: I prefer team member.
Assistant: I'll transfer your call to a team member shortly."
69b9eb3d039d9372ee1025c7,RT Buckhead,2026-03-17T20:01:03.427-04:00,00:17,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-9B2E47E7,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: May I speak to a live agent?"
69c844ef9d214fefe33224b5,RT Buckhead,2026-03-28T17:15:29.537-04:00,00:24,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-320E2787,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Talk to a manager.
Assistant: Sure thing. I can connect you with the manager. Would you like me to do that?
Customer: Yes.
Assistant: Great, connecting you now."
69b9a5af10d10be09b20d75a,RT Buckhead,2026-03-17T15:04:17.793-04:00,00:32,UserHangup,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-D8D8C7AB,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: May I speak to the workers so I can actually order food? Freaking nacho?
Assistant: I'm a virtual ...
Customer: Not the fake voices in the bag.
Assistant: I'm a virtual ...
Customer: What is the what is the how
Assistant: I'm a virtual ...
Customer: don't I don't get.
Assistant: I'm a ..."
69b428ba6896046c69c0fba0,RT Buckhead,2026-03-13T11:09:48.502-04:00,00:31,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-72B2AFAB,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Can I call with customer service?
Assistant: I understand you're looking to speak with customer service. Would you like me to connect you with the host?
Customer: Yes.
Assistant: Great, connecting you now."
69cbf883576487e62f627e7a,TF Oakwood,2026-03-31T12:38:29.763-04:00,00:31,CallTransfer,TRUE,Placing an Order for Takeout or Delivery,,,0,CALLER-5F4DA952,"Assistant: Hola, gracias por llamar a Todo Frito Oakwood, habla Yuli. Cómo puedo ayudarte?
Customer: Necesito una orden.
Assistant: Claro, ¿prefieres que te pase con un miembro del equipo para hacer tu orden o quieres que te envíe el link para ordenar en línea?
Customer: No, una parte de equipo.
Assistant: Entendido, te transfiero con un miembro de nuestro equipo ahora mismo."
69bc898a61b76e251d1002f4,RT Buckhead,2026-03-19T19:41:01.122-04:00,00:28,CallTransfer,TRUE,"Request to speak to a human, to a person, to customer service, to the host or the hostess",,,0,CALLER-761D1353,"Assistant: Hi, thanks for calling Rreal Tacos Buckhead! I’m Nacho. How may I help you?
Customer: Speak to customer service.
Assistant: No problem. I can transfer you to the host right away. Would you like me to do that?
Customer: Yes.
Assistant: Great, connecting you now."
